Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers,Youtube link,Audio Link
1,Aachal ke tuze,Door gagan ki Chhao mein,1964,Kishor Kumar,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=V8vQxix0yyo,http://mymp3song.org/filedownload/42376/aa_chal_ke_tujhe
2,AA Dekhe jara ,Rocky,1981,R D Barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=yCNbITasdqE,http://mymp3song.org/filedownload/12818/aa_dekhen_zara
3,Aadmi jo kaheta Hai,Majboor,1974,lakshmikant Pyarelal,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=-ArgZa-UsAM,http://mymp3song.org/filedownload/10599/aadmi_jo_kehta_hai
4,Aai Khuda Har faisala tera Muze Manjur hai,Abdullah,1980,R D Barman,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=SJFAls-GDrk,http://mymp3song.org/filedownload/12632/aai_khuda_har_faisla
5,Aaiye Shauk se Kahiye,Parvarish,1977,lakshmikant Pyarelal,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=yaaoqmrY67s,http://mymp3song.org/filedownload/17891/aaiye_shauk_se_kahiye
6,Aaj ka ye din,Nastik,1983,kalyanji Anandji,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=NSEO_q-1feM,http://mymp3song.org/filedownload/12146/aaj_ka_ye_din
7,Aaj Madhosh Hua Jaye re,Sharmili,1971,S D barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=otbDicOFtfs,http://mymp3song.org/filedownload/15478/aaj_madhosh_hua_jaye_re
8,Aaj na chhodenge ,Kati patang,1970,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=hCLW9VOLpuc,http://mymp3song.org/filedownload/45705/aaj_na_chhodenge
9,Aaj Rapat jaye to hame na uthaiyo,Namak Halal,1982,Bappi Lahiri,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=oeQGqEQq9qw,http://mymp3song.org/filedownload/12176/aaj_rapat_jaye_to_hame_na_uthaiyo
10,Aake seedhi lagi dilpe jaise,Half Ticket,1962,Salil Chowdhary,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=ZJwOzpW3k7g,http://mymp3song.org/filedownload/4006/aake_seedhi_lagi_dil_pe_jaise
11,Aane wala pal jane wala hai,Golamal,1979,R D Barman,solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=AFRAFHtU-PE,http://mymp3song.org/filedownload/2639/aanewala_pal_janewala_hai
12,Aankho Aankho me bat hone do,Aankho Aankho me ,1972,Shankar Jaikisan,Duet,Male&Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=KCOSfVFVy1k,http://mymp3song.org/filedownload/38598/aankhon_aankhon_mein
13,Aapke kamare me koi,Yadon ki barat,1973,R D Barman,Duet,Male&Female,Kishor Kumar & Asha Bhosale& R D Barman,https://www.youtube.com/watch?v=fmnmiuSboJs,http://mymp3song.org/filedownload/7907/aap_ke_kamre_mein
14,Aap ki Aankhon me kuch,ghar,1978,R D Barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=NbqCWwlNKrA,http://mymp3song.org/filedownload/2654/aap_ki_aankhon_mein_kuch
15,Aap yahan aaye kisliye,kal aaj aur kal,1971,Shankar Jaikisan,Duet,Male or Female,Kishor Kumar & Asha Bhosale,https://www.youtube.com/watch?v=dVVneMi8aGw,http://mymp3song.org/filedownload/12048/aap_yahan_aaye_kisliye
16,Aap ke anurodh pe mai ye git,Anurodh,1977,Lakshmikant Pyarelal,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=Ih1a1HeXItc,http://mymp3song.org/filedownload/13257/aapke_anurodh_pe
17,Aashiq hoon Baharon ka,Aashiq hoon Baharon ka,1977,lakshmikant Pyarelal,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=UxJQ9jSGrmw,http://mymp3song.org/filedownload/13106/aashiq_hoon_baharon_ka
18,Aasaman ke neeche,Jewel Thief,1967,S D barman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=VqZO__oc7uQ,http://mymp3song.org/filedownload/10509/aasman_ke_neeche
19,Aate jate Khoob Surat Aawara,Anurodh,1977,lakshmikant Pyarelal,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=Tg52t-NaM1o,http://mymp3song.org/filedownload/45592/aate_jate_khoobsurat_awara
20,Aati rahengi baharen,kasme Wade,1978,R D Barman,Duet,Male&Female,Amit Kumar&Asha Bhosale&Kishor Kumar,https://www.youtube.com/watch?v=CD2KC79uaes,http://mymp3song.org/filedownload/11978/aati_rahengi_baharen
21,Aaye tum Yad muze,Mili,1975,S D barman,solo,male,Kishor Kumar,https://www.youtube.com/watch?v=UR8fYR4Yyy4,http://mymp3song.org/filedownload/10595/aaye_tum_yaad_mujhe
